date,month,day,close,closer,diff,perc,country,garb
2020-03-06,03,06,6462.600098,6463,-242,-3.609246831,United_Kingdom,
2020-03-09,03,09,5965.799805,5966,-497,-7.689927278,United_Kingdom,
2020-03-10,03,10,5960.200195,5960,-6,-0.1005698961,United_Kingdom,
2020-03-11,03,11,5876.500000,5877,-83,-1.39261745,United_Kingdom,
2020-03-12,03,12,5237.500000,5238,-639,-10.87289433,United_Kingdom,
2020-03-13,03,13,5366.100098,5366,128,2.443680794,United_Kingdom,
2020-03-16,03,16,5151.100098,5151,-215,-4.006708908,United_Kingdom,
2020-03-17,03,17,5294.899902,5295,144,2.795573675,United_Kingdom,
2020-03-18,03,18,5080.600098,5081,-214,-4.041548631,United_Kingdom,
2020-03-19,03,19,5151.600098,5152,71,1.397362724,United_Kingdom,
2020-03-20,03,20,5190.799805,5191,39,0.7569875776,United_Kingdom,
2020-03-23,03,23,4993.899902,4994,-197,-3.795029859,United_Kingdom,
2020-03-24,03,24,5446.000000,5446,452,9.050861033,United_Kingdom,
2020-03-25,03,25,5688.200195,5688,242,4.443628351,United_Kingdom,
2020-03-26,03,26,5815.700195,5816,128,2.250351617,United_Kingdom,
2020-03-27,03,27,5510.299805,5510,-306,-5.261348006,United_Kingdom,
2020-03-30,03,30,5563.700195,5564,54,0.9800362976,United_Kingdom,
2020-03-31,03,31,5672.000000,5672,108,1.941049605,United_Kingdom,
2020-04-01,04,01,5454.600098,5455,-217,-3.825811001,United_Kingdom,
2020-04-02,04,02,5480.200195,5480,25,0.4582951421,United_Kingdom,
2020-04-03,04,03,5415.500000,5416,-64,-1.167883212,United_Kingdom,
2020-04-06,04,06,5582.399902,5582,166,3.064992614,United_Kingdom,
2020-04-07,04,07,5704.500000,5705,123,2.203511286,United_Kingdom,
2020-04-08,04,08,5677.700195,5678,-27,-0.4732690622,United_Kingdom,
2020-04-09,04,09,5842.700195,5843,165,2.9059528,United_Kingdom,
2020-04-14,04,14,5791.299805,5791,-52,-0.8899537909,United_Kingdom,
2020-04-15,04,15,5597.700195,5598,-193,-3.332757728,United_Kingdom,
2020-04-16,04,16,5628.399902,5628,30,0.5359056806,United_Kingdom,
2020-04-17,04,17,5787.000000,5787,159,2.825159915,United_Kingdom,
2020-04-20,04,20,5812.799805,5813,26,0.4492828754,United_Kingdom,
2020-04-21,04,21,5641.000000,5641,-172,-2.958885257,United_Kingdom,
2020-04-22,04,22,5770.600098,5771,130,2.30455593,United_Kingdom,
2020-04-23,04,23,5826.600098,5827,56,0.9703690868,United_Kingdom,
2020-04-24,04,24,5752.200195,5752,-75,-1.287111721,United_Kingdom,
